n,structure,operation,worst_case_count
100,"Singly Linked Unsorted","Insert",1
100,"Singly Linked Unsorted","Delete",99
100,"Singly Linked Unsorted","Maximum",99
100,"Singly Linked Unsorted","Minimum",99
100,"Singly Linked Unsorted","Predecessor",100
100,"Singly Linked Unsorted","Successor",100
100,"Singly Linked Sorted","Search",100
100,"Singly Linked Sorted","Insert",100
100,"Singly Linked Sorted","Delete",99
100,"Singly Linked Sorted","Maximum",99
100,"Singly Linked Sorted","Minimum",1
100,"Singly Linked Sorted","Predecessor",99
100,"Singly Linked Sorted","Successor",1
100,"Doubly Linked Unsorted","Search",100
100,"Doubly Linked Unsorted","Insert",1
100,"Doubly Linked Unsorted","Delete",1
100,"Doubly Linked Unsorted","Maximum",99
100,"Doubly Linked Unsorted","Minimum",99
100,"Doubly Linked Unsorted","Predecessor",100
100,"Doubly Linked Unsorted","Successor",100
100,"Doubly Linked Sorted","Search",100
100,"Doubly Linked Sorted","Insert",101
100,"Doubly Linked Sorted","Delete",1
100,"Doubly Linked Sorted","Maximum",1
100,"Doubly Linked Sorted","Minimum",1
100,"Doubly Linked Sorted","Predecessor",1
100,"Doubly Linked Sorted","Successor",1
200,"Unsorted Array","Search",200
200,"Unsorted Array","Insert",1
200,"Unsorted Array","Delete",199
200,"Unsorted Array","Maximum",199
200,"Unsorted Array","Minimum",199
200,"Unsorted Array","Predecessor",200
200,"Unsorted Array","Successor",200
200,"Sorted Array","Search",7
200,"Sorted Array","Insert",201
200,"Sorted Array","Delete",199
200,"Sorted Array","Maximum",1
200,"Sorted Array","Minimum",1
200,"Sorted Array","Predecessor",1
200,"Sorted Array","Successor",1
200,"Singly Linked Unsorted","Search",200
200,"Singly Linked Unsorted","Insert",1
200,"Singly Linked Unsorted","Delete",199
200,"Singly Linked Unsorted","Maximum",199
200,"Singly Linked Unsorted","Minimum",199
200,"Singly Linked Unsorted","Predecessor",200
200,"Singly Linked Unsorted","Successor",200
200,"Singly Linked Sorted","Search",200
200,"Singly Linked Sorted","Insert",200
200,"Singly Linked Sorted","Delete",199
200,"Singly Linked Sorted","Maximum",199
200,"Singly Linked Sorted","Minimum",1
200,"Singly Linked Sorted","Predecessor",199
200,"Singly Linked Sorted","Successor",1
200,"Doubly Linked Unsorted","Search",200
200,"Doubly Linked Unsorted","Insert",1
200,"Doubly Linked Unsorted","Delete",1
200,"Doubly Linked Unsorted","Maximum",199
200,"Doubly Linked Unsorted","Minimum",199
200,"Doubly Linked Unsorted","Predecessor",200
200,"Doubly Linked Unsorted","Successor",200
200,"Doubly Linked Sorted","Search",200
200,"Doubly Linked Sorted","Insert",201
200,"Doubly Linked Sorted","Delete",1
200,"Doubly Linked Sorted","Maximum",1
200,"Doubly Linked Sorted","Minimum",1
200,"Doubly Linked Sorted","Predecessor",1
200,"Doubly Linked Sorted","Successor",1
500,"Unsorted Array","Search",500
500,"Unsorted Array","Insert",1
500,"Unsorted Array","Delete",499
500,"Unsorted Array","Maximum",499
500,"Unsorted Array","Minimum",499
500,"Unsorted Array","Predecessor",500
500,"Unsorted Array","Successor",500
500,"Sorted Array","Search",8
500,"Sorted Array","Insert",501
500,"Sorted Array","Delete",499
500,"Sorted Array","Maximum",1
500,"Sorted Array","Minimum",1
500,"Sorted Array","Predecessor",1
500,"Sorted Array","Successor",1
500,"Singly Linked Unsorted","Search",500
500,"Singly Linked Unsorted","Insert",1
500,"Singly Linked Unsorted","Delete",499
500,"Singly Linked Unsorted","Maximum",499
500,"Singly Linked Unsorted","Minimum",499
500,"Singly Linked Unsorted","Predecessor",500
500,"Singly Linked Unsorted","Successor",500
500,"Singly Linked Sorted","Search",500
500,"Singly Linked Sorted","Insert",500
500,"Singly Linked Sorted","Delete",499
500,"Singly Linked Sorted","Maximum",499
500,"Singly Linked Sorted","Minimum",1
500,"Singly Linked Sorted","Predecessor",499
500,"Singly Linked Sorted","Successor",1
500,"Doubly Linked Unsorted","Search",500
500,"Doubly Linked Unsorted","Insert",1
